Epochs 000, train loss: 1.39, train acc: -0.67, valid loss: 1.39, valid acc: -0.75, test loss: 1.39, test acc: -0.69
Epochs 001, train loss: 1.38, train acc: -0.68, valid loss: 1.38, valid acc: -0.75, test loss: 1.39, test acc: -0.69
Epochs 002, train loss: 1.37, train acc: -0.67, valid loss: 1.38, valid acc: -0.75, test loss: 1.38, test acc: -0.69
Epochs 003, train loss: 1.35, train acc: -0.69, valid loss: 1.36, valid acc: -0.75, test loss: 1.37, test acc: -0.69
Epochs 004, train loss: 1.33, train acc: -0.25, valid loss: 1.34, valid acc: -0.78, test loss: 1.35, test acc: -0.72
Epochs 005, train loss: 1.30, train acc: 0.18, valid loss: 1.31, valid acc: 0.20, test loss: 1.32, test acc: 0.20
Epochs 006, train loss: 1.27, train acc: 0.07, valid loss: 1.28, valid acc: 0.13, test loss: 1.29, test acc: 0.13
Epochs 007, train loss: 1.23, train acc: 0.02, valid loss: 1.24, valid acc: 0.02, test loss: 1.25, test acc: 0.02
Epochs 008, train loss: 1.21, train acc: -0.00, valid loss: 1.21, valid acc: 0.01, test loss: 1.22, test acc: 0.02
Epochs 009, train loss: 1.18, train acc: 0.00, valid loss: 1.18, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 010, train loss: 1.17, train acc: -0.00, valid loss: 1.16, valid acc: 0.00, test loss: 1.17, test acc: 0.00
Epochs 011, train loss: 1.15, train acc: 0.00, valid loss: 1.14, valid acc: 0.00, test loss: 1.15, test acc: 0.00
Epochs 012, train loss: 1.13, train acc: -0.00, valid loss: 1.12, valid acc: 0.00, test loss: 1.14, test acc: 0.00
Epochs 013, train loss: 1.10, train acc: 0.03, valid loss: 1.10, valid acc: 0.00, test loss: 1.11, test acc: 0.00
Epochs 014, train loss: 1.07, train acc: 0.10, valid loss: 1.07, valid acc: 0.08, test loss: 1.08, test acc: 0.08
