Epochs 000, train loss: 1.40, train acc: -0.84, valid loss: 1.39, valid acc: -0.89, test loss: 1.40, test acc: -0.83
Epochs 001, train loss: 1.40, train acc: -0.85, valid loss: 1.39, valid acc: -0.92, test loss: 1.40, test acc: -0.85
Epochs 002, train loss: 1.39, train acc: -0.87, valid loss: 1.39, valid acc: -0.92, test loss: 1.39, test acc: -0.86
Epochs 003, train loss: 1.39, train acc: -0.88, valid loss: 1.39, valid acc: -0.94, test loss: 1.39, test acc: -0.88
Epochs 004, train loss: 1.39, train acc: -0.88, valid loss: 1.38, valid acc: -0.95, test loss: 1.39, test acc: -0.89
Epochs 005, train loss: 1.39, train acc: -0.88, valid loss: 1.38, valid acc: -0.95, test loss: 1.39, test acc: -0.89
Epochs 006, train loss: 1.38, train acc: -0.88, valid loss: 1.38, valid acc: -0.95, test loss: 1.38, test acc: -0.89
Epochs 007, train loss: 1.38, train acc: -0.35, valid loss: 1.38, valid acc: -0.95, test loss: 1.38, test acc: -0.89
Epochs 008, train loss: 1.38, train acc: 0.10, valid loss: 1.37, valid acc: 0.10, test loss: 1.38, test acc: 0.10
Epochs 009, train loss: 1.38, train acc: 0.10, valid loss: 1.37, valid acc: 0.10, test loss: 1.38, test acc: 0.10
Epochs 010, train loss: 1.38, train acc: 0.10, valid loss: 1.37, valid acc: 0.10, test loss: 1.38, test acc: 0.10
Epochs 011, train loss: 1.38, train acc: 0.10, valid loss: 1.37, valid acc: 0.10, test loss: 1.37, test acc: 0.10
Epochs 012, train loss: 1.37, train acc: 0.10, valid loss: 1.37, valid acc: 0.10, test loss: 1.37, test acc: 0.10
Epochs 013, train loss: 1.37, train acc: 0.09, valid loss: 1.36, valid acc: 0.10, test loss: 1.37, test acc: 0.09
Epochs 014, train loss: 1.37, train acc: 0.09, valid loss: 1.36, valid acc: 0.09, test loss: 1.37, test acc: 0.09
