Epochs 000, train loss: 1.31, train acc: 0.29, valid loss: 1.32, valid acc: 0.29, test loss: 1.33, test acc: 0.29
Epochs 001, train loss: 1.29, train acc: 0.30, valid loss: 1.30, valid acc: 0.29, test loss: 1.30, test acc: 0.29
Epochs 002, train loss: 1.28, train acc: 0.30, valid loss: 1.28, valid acc: 0.31, test loss: 1.29, test acc: 0.30
Epochs 003, train loss: 1.27, train acc: 0.30, valid loss: 1.27, valid acc: 0.30, test loss: 1.28, test acc: 0.30
Epochs 004, train loss: 1.26, train acc: 0.30, valid loss: 1.25, valid acc: 0.30, test loss: 1.26, test acc: 0.30
Epochs 005, train loss: 1.25, train acc: 0.30, valid loss: 1.24, valid acc: 0.30, test loss: 1.25, test acc: 0.30
Epochs 006, train loss: 1.24, train acc: 0.29, valid loss: 1.23, valid acc: 0.30, test loss: 1.24, test acc: 0.29
Epochs 007, train loss: 1.23, train acc: 0.29, valid loss: 1.22, valid acc: 0.29, test loss: 1.23, test acc: 0.29
Epochs 008, train loss: 1.22, train acc: 0.29, valid loss: 1.21, valid acc: 0.29, test loss: 1.23, test acc: 0.29
Epochs 009, train loss: 1.21, train acc: 0.28, valid loss: 1.21, valid acc: 0.29, test loss: 1.22, test acc: 0.28
Epochs 010, train loss: 1.21, train acc: 0.29, valid loss: 1.20, valid acc: 0.29, test loss: 1.21, test acc: 0.28
Epochs 011, train loss: 1.20, train acc: 0.29, valid loss: 1.19, valid acc: 0.29, test loss: 1.20, test acc: 0.28
Epochs 012, train loss: 1.19, train acc: 0.28, valid loss: 1.18, valid acc: 0.29, test loss: 1.20, test acc: 0.28
Epochs 013, train loss: 1.18, train acc: 0.28, valid loss: 1.18, valid acc: 0.28, test loss: 1.19, test acc: 0.28
Epochs 014, train loss: 1.18, train acc: 0.28, valid loss: 1.17, valid acc: 0.29, test loss: 1.18, test acc: 0.28
