Epochs 000, train loss: 1.38, train acc: -0.56, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 001, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 002, train loss: 1.38, train acc: -0.56, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 003, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 004, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 005, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 006, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 007, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 008, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 009, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 010, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.38, test acc: -0.54
Epochs 011, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.37, test acc: -0.54
Epochs 012, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.37, test acc: -0.54
Epochs 013, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.37, test acc: -0.54
Epochs 014, train loss: 1.38, train acc: -0.55, valid loss: 1.38, valid acc: -0.62, test loss: 1.37, test acc: -0.54
