Epochs 000, train loss: 1.18, train acc: 0.01, valid loss: 1.49, valid acc: -0.73, test loss: 1.48, test acc: -0.67
Epochs 001, train loss: 0.94, train acc: 0.22, valid loss: 1.24, valid acc: -0.66, test loss: 1.24, test acc: -0.59
Epochs 002, train loss: 0.56, train acc: 0.44, valid loss: 0.60, valid acc: 0.42, test loss: 0.62, test acc: 0.42
Epochs 003, train loss: 0.53, train acc: 0.46, valid loss: 0.52, valid acc: 0.45, test loss: 0.54, test acc: 0.45
Epochs 004, train loss: 0.52, train acc: 0.47, valid loss: 0.50, valid acc: 0.46, test loss: 0.52, test acc: 0.47
Epochs 005, train loss: 0.51, train acc: 0.49, valid loss: 0.50, valid acc: 0.48, test loss: 0.51, test acc: 0.48
Epochs 006, train loss: 0.51, train acc: 0.49, valid loss: 0.49, valid acc: 0.49, test loss: 0.51, test acc: 0.49
Epochs 007, train loss: 0.50, train acc: 0.51, valid loss: 0.48, valid acc: 0.50, test loss: 0.50, test acc: 0.50
Epochs 008, train loss: 0.50, train acc: 0.51, valid loss: 0.48, valid acc: 0.50, test loss: 0.50, test acc: 0.51
Epochs 009, train loss: 0.50, train acc: 0.51, valid loss: 0.48, valid acc: 0.51, test loss: 0.50, test acc: 0.52
Epochs 010, train loss: 0.49, train acc: 0.52, valid loss: 0.48, valid acc: 0.51, test loss: 0.49, test acc: 0.52
Epochs 011, train loss: 0.49, train acc: 0.52, valid loss: 0.48, valid acc: 0.51, test loss: 0.49, test acc: 0.52
Epochs 012, train loss: 0.49, train acc: 0.52, valid loss: 0.48, valid acc: 0.52, test loss: 0.49, test acc: 0.52
Epochs 013, train loss: 0.49, train acc: 0.52, valid loss: 0.47, valid acc: 0.52, test loss: 0.49, test acc: 0.52
Epochs 014, train loss: 0.49, train acc: 0.52, valid loss: 0.48, valid acc: 0.51, test loss: 0.50, test acc: 0.51
