Epochs 000, train loss: 1.32, train acc: -0.16, valid loss: 1.45, valid acc: -0.72, test loss: 1.44, test acc: -0.65
Epochs 001, train loss: 1.12, train acc: 0.12, valid loss: 0.99, valid acc: 0.18, test loss: 1.00, test acc: 0.18
Epochs 002, train loss: 0.79, train acc: 0.35, valid loss: 0.80, valid acc: 0.24, test loss: 0.83, test acc: 0.24
Epochs 003, train loss: 0.61, train acc: 0.45, valid loss: 0.62, valid acc: 0.45, test loss: 0.64, test acc: 0.45
Epochs 004, train loss: 0.55, train acc: 0.46, valid loss: 0.54, valid acc: 0.46, test loss: 0.55, test acc: 0.46
Epochs 005, train loss: 0.53, train acc: 0.47, valid loss: 0.52, valid acc: 0.46, test loss: 0.53, test acc: 0.47
Epochs 006, train loss: 0.53, train acc: 0.47, valid loss: 0.52, valid acc: 0.46, test loss: 0.53, test acc: 0.47
Epochs 007, train loss: 0.53, train acc: 0.47, valid loss: 0.52, valid acc: 0.46, test loss: 0.53, test acc: 0.46
Epochs 008, train loss: 0.52, train acc: 0.47, valid loss: 0.50, valid acc: 0.48, test loss: 0.52, test acc: 0.48
Epochs 009, train loss: 0.52, train acc: 0.47, valid loss: 0.51, valid acc: 0.47, test loss: 0.52, test acc: 0.48
Epochs 010, train loss: 0.52, train acc: 0.47, valid loss: 0.50, valid acc: 0.47, test loss: 0.51, test acc: 0.48
Epochs 011, train loss: 0.52, train acc: 0.48, valid loss: 0.50, valid acc: 0.48, test loss: 0.51, test acc: 0.48
Epochs 012, train loss: 0.52, train acc: 0.48, valid loss: 0.50, valid acc: 0.48, test loss: 0.51, test acc: 0.48
Epochs 013, train loss: 0.51, train acc: 0.48, valid loss: 0.50, valid acc: 0.48, test loss: 0.51, test acc: 0.48
Epochs 014, train loss: 0.51, train acc: 0.48, valid loss: 0.49, valid acc: 0.48, test loss: 0.51, test acc: 0.48
