Epochs 000, train loss: 1.21, train acc: -0.04, valid loss: 1.42, valid acc: -0.66, test loss: 1.42, test acc: -0.58
Epochs 001, train loss: 1.16, train acc: 0.04, valid loss: 1.11, valid acc: 0.04, test loss: 1.13, test acc: 0.04
Epochs 002, train loss: 1.16, train acc: 0.13, valid loss: 1.00, valid acc: 0.30, test loss: 1.01, test acc: 0.31
Epochs 003, train loss: 1.08, train acc: 0.12, valid loss: 0.95, valid acc: 0.10, test loss: 0.98, test acc: 0.10
Epochs 004, train loss: 0.98, train acc: 0.25, valid loss: 0.87, valid acc: 0.38, test loss: 0.88, test acc: 0.38
Epochs 005, train loss: 0.89, train acc: 0.30, valid loss: 1.39, valid acc: 0.00, test loss: 1.44, test acc: 0.00
Epochs 006, train loss: 0.58, train acc: 0.46, valid loss: 0.63, valid acc: 0.45, test loss: 0.64, test acc: 0.45
Epochs 007, train loss: 0.54, train acc: 0.47, valid loss: 0.53, valid acc: 0.46, test loss: 0.54, test acc: 0.46
Epochs 008, train loss: 0.53, train acc: 0.47, valid loss: 0.52, valid acc: 0.46, test loss: 0.54, test acc: 0.46
Epochs 009, train loss: 0.52, train acc: 0.47, valid loss: 0.51, valid acc: 0.47, test loss: 0.52, test acc: 0.48
Epochs 010, train loss: 0.52, train acc: 0.48, valid loss: 0.50, valid acc: 0.47, test loss: 0.52, test acc: 0.48
Epochs 011, train loss: 0.52, train acc: 0.48, valid loss: 0.51, valid acc: 0.46, test loss: 0.52, test acc: 0.46
Epochs 012, train loss: 0.52, train acc: 0.48, valid loss: 0.50, valid acc: 0.47, test loss: 0.52, test acc: 0.48
Epochs 013, train loss: 0.52, train acc: 0.48, valid loss: 0.50, valid acc: 0.48, test loss: 0.52, test acc: 0.48
Epochs 014, train loss: 0.52, train acc: 0.48, valid loss: 0.50, valid acc: 0.46, test loss: 0.52, test acc: 0.46
