Epochs 000, train loss: 1.03, train acc: 0.45, valid loss: 1.39, valid acc: 0.23, test loss: 1.38, test acc: 0.32
Epochs 001, train loss: 1.02, train acc: 0.46, valid loss: 1.06, valid acc: 0.44, test loss: 1.02, test acc: 0.48
Epochs 002, train loss: 1.02, train acc: 0.46, valid loss: 1.05, valid acc: 0.44, test loss: 1.02, test acc: 0.47
Epochs 003, train loss: 1.02, train acc: 0.46, valid loss: 1.05, valid acc: 0.44, test loss: 1.02, test acc: 0.47
Epochs 004, train loss: 1.02, train acc: 0.46, valid loss: 1.07, valid acc: 0.45, test loss: 1.01, test acc: 0.49
Epochs 005, train loss: 1.02, train acc: 0.46, valid loss: 1.06, valid acc: 0.44, test loss: 1.02, test acc: 0.47
Epochs 006, train loss: 1.02, train acc: 0.46, valid loss: 1.05, valid acc: 0.45, test loss: 1.01, test acc: 0.49
Epochs 007, train loss: 1.02, train acc: 0.46, valid loss: 1.07, valid acc: 0.46, test loss: 1.00, test acc: 0.49
Epochs 008, train loss: 1.02, train acc: 0.46, valid loss: 1.06, valid acc: 0.47, test loss: 1.01, test acc: 0.51
Epochs 009, train loss: 1.02, train acc: 0.46, valid loss: 1.06, valid acc: 0.44, test loss: 1.02, test acc: 0.47
Epochs 010, train loss: 1.02, train acc: 0.46, valid loss: 1.07, valid acc: 0.44, test loss: 1.01, test acc: 0.48
Epochs 011, train loss: 1.02, train acc: 0.46, valid loss: 1.06, valid acc: 0.44, test loss: 1.02, test acc: 0.47
Epochs 012, train loss: 1.02, train acc: 0.46, valid loss: 1.06, valid acc: 0.44, test loss: 1.01, test acc: 0.47
Epochs 013, train loss: 1.02, train acc: 0.46, valid loss: 1.06, valid acc: 0.44, test loss: 1.02, test acc: 0.49
Epochs 014, train loss: 1.02, train acc: 0.46, valid loss: 1.06, valid acc: 0.44, test loss: 1.02, test acc: 0.47
