Epochs 000, train loss: 1.01, train acc: 0.23, valid loss: 1.39, valid acc: -0.57, test loss: 1.39, test acc: -0.50
Epochs 001, train loss: 0.66, train acc: 0.38, valid loss: 0.69, valid acc: 0.35, test loss: 0.71, test acc: 0.36
Epochs 002, train loss: 0.62, train acc: 0.39, valid loss: 0.61, valid acc: 0.40, test loss: 0.63, test acc: 0.41
Epochs 003, train loss: 0.59, train acc: 0.42, valid loss: 0.58, valid acc: 0.40, test loss: 0.60, test acc: 0.41
Epochs 004, train loss: 0.56, train acc: 0.48, valid loss: 0.56, valid acc: 0.46, test loss: 0.57, test acc: 0.47
Epochs 005, train loss: 0.54, train acc: 0.50, valid loss: 0.53, valid acc: 0.48, test loss: 0.55, test acc: 0.49
Epochs 006, train loss: 0.52, train acc: 0.53, valid loss: 0.51, valid acc: 0.51, test loss: 0.53, test acc: 0.52
Epochs 007, train loss: 0.51, train acc: 0.54, valid loss: 0.50, valid acc: 0.52, test loss: 0.52, test acc: 0.53
Epochs 008, train loss: 0.50, train acc: 0.54, valid loss: 0.49, valid acc: 0.53, test loss: 0.51, test acc: 0.54
Epochs 009, train loss: 0.50, train acc: 0.55, valid loss: 0.49, valid acc: 0.54, test loss: 0.50, test acc: 0.54
Epochs 010, train loss: 0.53, train acc: 0.53, valid loss: 0.48, valid acc: 0.54, test loss: 0.50, test acc: 0.54
Epochs 011, train loss: 0.52, train acc: 0.51, valid loss: 0.52, valid acc: 0.49, test loss: 0.54, test acc: 0.49
Epochs 012, train loss: 0.51, train acc: 0.53, valid loss: 0.50, valid acc: 0.52, test loss: 0.52, test acc: 0.53
Epochs 013, train loss: 0.51, train acc: 0.54, valid loss: 0.50, valid acc: 0.53, test loss: 0.51, test acc: 0.53
Epochs 014, train loss: 0.50, train acc: 0.54, valid loss: 0.49, valid acc: 0.53, test loss: 0.50, test acc: 0.53
