Epochs 000, train loss: 0.90, train acc: 0.54, valid loss: 1.42, valid acc: 0.29, test loss: 1.35, test acc: 0.33
Epochs 001, train loss: 0.88, train acc: 0.55, valid loss: 0.91, valid acc: 0.57, test loss: 0.86, test acc: 0.54
Epochs 002, train loss: 0.88, train acc: 0.56, valid loss: 0.89, valid acc: 0.55, test loss: 0.86, test acc: 0.56
Epochs 003, train loss: 0.88, train acc: 0.56, valid loss: 0.87, valid acc: 0.55, test loss: 0.91, test acc: 0.52
Epochs 004, train loss: 0.88, train acc: 0.56, valid loss: 0.92, valid acc: 0.55, test loss: 0.88, test acc: 0.55
Epochs 005, train loss: 0.87, train acc: 0.56, valid loss: 0.91, valid acc: 0.55, test loss: 0.86, test acc: 0.57
Epochs 006, train loss: 0.87, train acc: 0.56, valid loss: 0.90, valid acc: 0.55, test loss: 0.87, test acc: 0.57
Epochs 007, train loss: 0.87, train acc: 0.56, valid loss: 0.88, valid acc: 0.56, test loss: 0.84, test acc: 0.57
Epochs 008, train loss: 0.87, train acc: 0.56, valid loss: 0.87, valid acc: 0.54, test loss: 0.86, test acc: 0.59
Epochs 009, train loss: 0.87, train acc: 0.56, valid loss: 0.86, valid acc: 0.58, test loss: 0.84, test acc: 0.57
Epochs 010, train loss: 0.87, train acc: 0.56, valid loss: 0.86, valid acc: 0.57, test loss: 0.84, test acc: 0.56
Epochs 011, train loss: 0.87, train acc: 0.56, valid loss: 0.86, valid acc: 0.57, test loss: 0.84, test acc: 0.55
Epochs 012, train loss: 0.87, train acc: 0.56, valid loss: 0.88, valid acc: 0.55, test loss: 0.86, test acc: 0.56
Epochs 013, train loss: 0.88, train acc: 0.56, valid loss: 0.87, valid acc: 0.57, test loss: 0.85, test acc: 0.58
Epochs 014, train loss: 0.88, train acc: 0.56, valid loss: 0.89, valid acc: 0.55, test loss: 0.85, test acc: 0.56
