Epochs 000, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.38, valid acc: 0.28 (std 0.02), test loss: 1.36, test acc: 0.35 (std 0.02)
Epochs 001, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.07, valid acc: 0.45 (std 0.02), test loss: 0.98, test acc: 0.48 (std 0.03)
Epochs 002, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.12, valid acc: 0.42 (std 0.02), test loss: 0.96, test acc: 0.56 (std 0.02)
Epochs 003, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.15, valid acc: 0.37 (std 0.02), test loss: 0.97, test acc: 0.51 (std 0.03)
Epochs 004, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.17, valid acc: 0.40 (std 0.02), test loss: 0.96, test acc: 0.53 (std 0.03)
Epochs 005, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.17, valid acc: 0.39 (std 0.02), test loss: 0.98, test acc: 0.52 (std 0.03)
Epochs 006, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.19, valid acc: 0.39 (std 0.02), test loss: 0.98, test acc: 0.53 (std 0.03)
Epochs 007, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.08, valid acc: 0.45 (std 0.02), test loss: 0.97, test acc: 0.49 (std 0.03)
Epochs 008, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.17, valid acc: 0.39 (std 0.02), test loss: 0.98, test acc: 0.53 (std 0.03)
Epochs 009, train loss: 1.04, train acc: 0.46 (std 0.00), valid loss: 1.14, valid acc: 0.40 (std 0.02), test loss: 0.96, test acc: 0.53 (std 0.03)
Epochs 010, train loss: 1.04, train acc: 0.46 (std 0.00), valid loss: 1.11, valid acc: 0.44 (std 0.02), test loss: 0.96, test acc: 0.53 (std 0.03)
Epochs 011, train loss: 1.04, train acc: 0.46 (std 0.00), valid loss: 1.11, valid acc: 0.43 (std 0.02), test loss: 0.96, test acc: 0.52 (std 0.03)
Epochs 012, train loss: 1.04, train acc: 0.46 (std 0.00), valid loss: 1.17, valid acc: 0.40 (std 0.02), test loss: 0.97, test acc: 0.53 (std 0.03)
Epochs 013, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.17, valid acc: 0.40 (std 0.02), test loss: 0.97, test acc: 0.53 (std 0.03)
Epochs 014, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.18, valid acc: 0.40 (std 0.02), test loss: 0.97, test acc: 0.53 (std 0.03)
