Epochs 000, train loss: 1.34, train acc: -0.02, valid loss: 1.40, valid acc: -0.79, test loss: 1.40, test acc: -0.72
Epochs 001, train loss: 1.25, train acc: 0.01, valid loss: 1.27, valid acc: 0.03, test loss: 1.28, test acc: 0.03
Epochs 002, train loss: 1.20, train acc: 0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 003, train loss: 1.18, train acc: -0.00, valid loss: 1.17, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 004, train loss: 1.15, train acc: 0.00, valid loss: 1.15, valid acc: 0.00, test loss: 1.16, test acc: 0.00
Epochs 005, train loss: 1.12, train acc: 0.00, valid loss: 1.12, valid acc: 0.00, test loss: 1.14, test acc: 0.00
Epochs 006, train loss: 1.08, train acc: 0.04, valid loss: 1.08, valid acc: 0.00, test loss: 1.10, test acc: 0.00
Epochs 007, train loss: 1.01, train acc: 0.17, valid loss: 1.03, valid acc: 0.11, test loss: 1.04, test acc: 0.11
Epochs 008, train loss: 0.88, train acc: 0.34, valid loss: 0.93, valid acc: 0.30, test loss: 0.95, test acc: 0.31
Epochs 009, train loss: 0.74, train acc: 0.41, valid loss: 0.78, valid acc: 0.39, test loss: 0.80, test acc: 0.40
Epochs 010, train loss: 0.66, train acc: 0.41, valid loss: 0.66, valid acc: 0.41, test loss: 0.68, test acc: 0.41
Epochs 011, train loss: 0.62, train acc: 0.42, valid loss: 0.62, valid acc: 0.42, test loss: 0.64, test acc: 0.43
Epochs 012, train loss: 0.59, train acc: 0.43, valid loss: 0.59, valid acc: 0.42, test loss: 0.60, test acc: 0.42
Epochs 013, train loss: 0.58, train acc: 0.44, valid loss: 0.57, valid acc: 0.44, test loss: 0.59, test acc: 0.44
Epochs 014, train loss: 0.57, train acc: 0.45, valid loss: 0.56, valid acc: 0.44, test loss: 0.57, test acc: 0.45
