Epochs 000, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 001, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 002, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 003, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 004, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 005, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 006, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 007, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 008, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 009, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 010, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 011, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 012, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 013, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
Epochs 014, train loss: 1.41, train acc: -0.75, valid loss: 1.41, valid acc: -0.82, test loss: 1.41, test acc: -0.76
