Epochs 000, train loss: 1.25, train acc: -0.00, valid loss: 1.31, valid acc: 0.00, test loss: 1.32, test acc: 0.00
Epochs 001, train loss: 1.22, train acc: -0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 002, train loss: 1.20, train acc: -0.00, valid loss: 1.19, valid acc: 0.00, test loss: 1.20, test acc: 0.00
Epochs 003, train loss: 1.17, train acc: 0.00, valid loss: 1.17, valid acc: 0.00, test loss: 1.18, test acc: 0.00
Epochs 004, train loss: 1.08, train acc: 0.11, valid loss: 1.12, valid acc: 0.03, test loss: 1.13, test acc: 0.03
Epochs 005, train loss: 0.88, train acc: 0.35, valid loss: 0.94, valid acc: 0.33, test loss: 0.96, test acc: 0.34
Epochs 006, train loss: 0.93, train acc: 0.30, valid loss: 1.17, valid acc: 0.42, test loss: 1.17, test acc: 0.43
Epochs 007, train loss: 0.68, train acc: 0.39, valid loss: 0.88, valid acc: 0.42, test loss: 0.89, test acc: 0.43
Epochs 008, train loss: 0.59, train acc: 0.44, valid loss: 0.58, valid acc: 0.43, test loss: 0.59, test acc: 0.44
Epochs 009, train loss: 0.57, train acc: 0.44, valid loss: 0.57, valid acc: 0.43, test loss: 0.59, test acc: 0.44
Epochs 010, train loss: 0.55, train acc: 0.45, valid loss: 0.54, valid acc: 0.44, test loss: 0.56, test acc: 0.45
Epochs 011, train loss: 0.54, train acc: 0.46, valid loss: 0.53, valid acc: 0.45, test loss: 0.55, test acc: 0.46
Epochs 012, train loss: 0.53, train acc: 0.46, valid loss: 0.52, valid acc: 0.44, test loss: 0.54, test acc: 0.45
Epochs 013, train loss: 0.53, train acc: 0.47, valid loss: 0.52, valid acc: 0.45, test loss: 0.54, test acc: 0.45
Epochs 014, train loss: 0.53, train acc: 0.47, valid loss: 0.51, valid acc: 0.46, test loss: 0.53, test acc: 0.46
