Epochs 000, train loss: 1.35, train acc: 0.13, valid loss: 1.35, valid acc: 0.14, test loss: 1.35, test acc: 0.14
Epochs 001, train loss: 1.33, train acc: 0.07, valid loss: 1.33, valid acc: 0.11, test loss: 1.34, test acc: 0.12
Epochs 002, train loss: 1.30, train acc: 0.07, valid loss: 1.31, valid acc: 0.07, test loss: 1.32, test acc: 0.07
Epochs 003, train loss: 1.28, train acc: 0.03, valid loss: 1.28, valid acc: 0.06, test loss: 1.29, test acc: 0.06
Epochs 004, train loss: 1.25, train acc: 0.01, valid loss: 1.25, valid acc: 0.01, test loss: 1.26, test acc: 0.01
Epochs 005, train loss: 1.22, train acc: 0.00, valid loss: 1.22, valid acc: 0.01, test loss: 1.23, test acc: 0.01
Epochs 006, train loss: 1.20, train acc: 0.00, valid loss: 1.19, valid acc: 0.00, test loss: 1.21, test acc: 0.00
Epochs 007, train loss: 1.17, train acc: 0.00, valid loss: 1.17, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 008, train loss: 1.11, train acc: 0.11, valid loss: 1.13, valid acc: 0.06, test loss: 1.15, test acc: 0.06
Epochs 009, train loss: 1.02, train acc: 0.13, valid loss: 1.03, valid acc: 0.14, test loss: 1.05, test acc: 0.14
Epochs 010, train loss: 0.91, train acc: 0.22, valid loss: 1.28, valid acc: -0.51, test loss: 1.28, test acc: -0.46
Epochs 011, train loss: 0.90, train acc: 0.21, valid loss: 0.73, valid acc: 0.36, test loss: 0.74, test acc: 0.36
Epochs 012, train loss: 0.68, train acc: 0.41, valid loss: 0.73, valid acc: 0.37, test loss: 0.74, test acc: 0.37
Epochs 013, train loss: 0.60, train acc: 0.44, valid loss: 0.61, valid acc: 0.42, test loss: 0.63, test acc: 0.42
Epochs 014, train loss: 0.57, train acc: 0.45, valid loss: 0.56, valid acc: 0.44, test loss: 0.58, test acc: 0.44
