Epochs 000, train loss: 1.39, train acc: -0.65, valid loss: 1.40, valid acc: -0.80, test loss: 1.40, test acc: -0.74
Epochs 001, train loss: 1.37, train acc: 0.21, valid loss: 1.38, valid acc: 0.21, test loss: 1.38, test acc: 0.21
Epochs 002, train loss: 1.36, train acc: 0.17, valid loss: 1.37, valid acc: 0.21, test loss: 1.37, test acc: 0.20
Epochs 003, train loss: 1.35, train acc: 0.15, valid loss: 1.35, valid acc: 0.17, test loss: 1.35, test acc: 0.17
Epochs 004, train loss: 1.34, train acc: 0.13, valid loss: 1.34, valid acc: 0.13, test loss: 1.34, test acc: 0.12
Epochs 005, train loss: 1.32, train acc: 0.07, valid loss: 1.33, valid acc: 0.10, test loss: 1.33, test acc: 0.09
Epochs 006, train loss: 1.31, train acc: 0.06, valid loss: 1.31, valid acc: 0.06, test loss: 1.32, test acc: 0.06
Epochs 007, train loss: 1.31, train acc: 0.06, valid loss: 1.30, valid acc: 0.07, test loss: 1.31, test acc: 0.07
Epochs 008, train loss: 1.30, train acc: 0.05, valid loss: 1.29, valid acc: 0.05, test loss: 1.30, test acc: 0.05
Epochs 009, train loss: 1.29, train acc: 0.03, valid loss: 1.29, valid acc: 0.05, test loss: 1.29, test acc: 0.05
Epochs 010, train loss: 1.28, train acc: 0.02, valid loss: 1.28, valid acc: 0.02, test loss: 1.29, test acc: 0.02
Epochs 011, train loss: 1.28, train acc: 0.02, valid loss: 1.27, valid acc: 0.02, test loss: 1.28, test acc: 0.02
Epochs 012, train loss: 1.27, train acc: 0.02, valid loss: 1.26, valid acc: 0.02, test loss: 1.27, test acc: 0.02
Epochs 013, train loss: 1.26, train acc: 0.01, valid loss: 1.26, valid acc: 0.02, test loss: 1.27, test acc: 0.02
Epochs 014, train loss: 1.26, train acc: 0.00, valid loss: 1.25, valid acc: 0.00, test loss: 1.26, test acc: 0.00
