Epochs 000, train loss: 1.27, train acc: 0.09, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 001, train loss: 1.27, train acc: 0.09, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 002, train loss: 1.28, train acc: 0.08, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 003, train loss: 1.28, train acc: 0.08, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 004, train loss: 1.27, train acc: 0.09, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 005, train loss: 1.27, train acc: 0.08, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 006, train loss: 1.27, train acc: 0.08, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 007, train loss: 1.27, train acc: 0.09, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 008, train loss: 1.27, train acc: 0.09, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 009, train loss: 1.27, train acc: 0.08, valid loss: 1.27, valid acc: 0.08, test loss: 1.28, test acc: 0.08
Epochs 010, train loss: 1.27, train acc: 0.09, valid loss: 1.27, valid acc: 0.08, test loss: 1.27, test acc: 0.08
Epochs 011, train loss: 1.27, train acc: 0.08, valid loss: 1.27, valid acc: 0.08, test loss: 1.27, test acc: 0.08
Epochs 012, train loss: 1.27, train acc: 0.09, valid loss: 1.27, valid acc: 0.08, test loss: 1.27, test acc: 0.08
Epochs 013, train loss: 1.27, train acc: 0.08, valid loss: 1.27, valid acc: 0.08, test loss: 1.27, test acc: 0.08
Epochs 014, train loss: 1.27, train acc: 0.08, valid loss: 1.27, valid acc: 0.08, test loss: 1.27, test acc: 0.08
