Epochs 000, train loss: 1.28, train acc: -0.06, valid loss: 1.41, valid acc: -0.77, test loss: 1.41, test acc: -0.70
Epochs 001, train loss: 1.19, train acc: -0.00, valid loss: 1.19, valid acc: 0.00, test loss: 1.20, test acc: 0.00
Epochs 002, train loss: 1.17, train acc: 0.00, valid loss: 1.16, valid acc: 0.00, test loss: 1.18, test acc: 0.00
Epochs 003, train loss: 1.16, train acc: 0.01, valid loss: 1.15, valid acc: 0.00, test loss: 1.16, test acc: 0.00
Epochs 004, train loss: 1.15, train acc: 0.04, valid loss: 1.13, valid acc: 0.03, test loss: 1.15, test acc: 0.03
Epochs 005, train loss: 1.13, train acc: 0.06, valid loss: 1.12, valid acc: 0.05, test loss: 1.14, test acc: 0.05
Epochs 006, train loss: 1.11, train acc: 0.08, valid loss: 1.10, valid acc: 0.05, test loss: 1.12, test acc: 0.05
Epochs 007, train loss: 1.09, train acc: 0.10, valid loss: 1.08, valid acc: 0.10, test loss: 1.10, test acc: 0.10
Epochs 008, train loss: 1.05, train acc: 0.11, valid loss: 1.05, valid acc: 0.10, test loss: 1.07, test acc: 0.10
Epochs 009, train loss: 1.00, train acc: 0.19, valid loss: 1.01, valid acc: 0.14, test loss: 1.03, test acc: 0.14
Epochs 010, train loss: 0.92, train acc: 0.25, valid loss: 0.94, valid acc: 0.23, test loss: 0.96, test acc: 0.23
Epochs 011, train loss: 1.10, train acc: 0.12, valid loss: 0.84, valid acc: 0.30, test loss: 0.86, test acc: 0.31
Epochs 012, train loss: 0.93, train acc: 0.25, valid loss: 0.96, valid acc: 0.17, test loss: 0.98, test acc: 0.17
Epochs 013, train loss: 0.82, train acc: 0.31, valid loss: 0.85, valid acc: 0.29, test loss: 0.87, test acc: 0.30
Epochs 014, train loss: 0.75, train acc: 0.34, valid loss: 0.76, valid acc: 0.33, test loss: 0.77, test acc: 0.33
