Epochs 000, train loss: 1.33, train acc: -0.27, valid loss: 1.42, valid acc: -0.62, test loss: 1.42, test acc: -0.55
Epochs 001, train loss: 1.24, train acc: -0.00, valid loss: 1.25, valid acc: 0.00, test loss: 1.26, test acc: 0.00
Epochs 002, train loss: 1.23, train acc: 0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.23, test acc: 0.00
Epochs 003, train loss: 1.23, train acc: 0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 004, train loss: 1.22, train acc: 0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 005, train loss: 1.22, train acc: 0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 006, train loss: 1.24, train acc: -0.03, valid loss: 1.24, valid acc: 0.03, test loss: 1.24, test acc: 0.04
Epochs 007, train loss: 1.22, train acc: -0.03, valid loss: 1.19, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 008, train loss: 1.25, train acc: -0.09, valid loss: 1.17, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 009, train loss: 1.23, train acc: -0.04, valid loss: 1.21, valid acc: 0.05, test loss: 1.22, test acc: 0.05
Epochs 010, train loss: 1.36, train acc: -0.20, valid loss: 1.73, valid acc: -0.62, test loss: 1.72, test acc: -0.54
Epochs 011, train loss: 1.20, train acc: -0.04, valid loss: 1.16, valid acc: 0.00, test loss: 1.18, test acc: 0.00
Epochs 012, train loss: 1.40, train acc: -0.15, valid loss: 1.15, valid acc: 0.00, test loss: 1.16, test acc: 0.00
Epochs 013, train loss: 1.28, train acc: -0.04, valid loss: 1.84, valid acc: -0.62, test loss: 1.82, test acc: -0.54
Epochs 014, train loss: 1.22, train acc: -0.08, valid loss: 1.40, valid acc: -0.62, test loss: 1.39, test acc: -0.54
